Id	Text	Type	NextIds	ImagePath
int	string	int/1	List<int>	int
1	烟雾缭绕中，你看到一口井。	1	2	1
2	井旁有一个用来打水的木桶。你会……	2	3,4	1
3	打水喝	3	1,0,0	1
4	离开	1	0	1
5	前方走来一个身影，与你擦身而过	2	6,7	1
6	拦下他	1	8	1
7	让他走	1	0	1
8	他惊愕的转身道：“大侠，我只是路过的，饶命”	1	9	1
9	这点小伎俩骗不过你，你从他怀里掏出了你的钱袋。	1	10	1
10	“大爷，别报官，我混口饭吃不容易”	2	11,12	1
11	让他走	1	0	1
12	索要好处	3	2,0,0	1
13	你行至山中，正觉腹中饥渴	1	14	1
14	前方林中似乎有几只野兽，你想要	2	15,16	1
15	狩猎一番	4	1	1
16	爱护野生动物，绕道走	1	0	1
17	你路过一家小型商店	2	18,19,20	1
18	买一点食物	3	3,28,27	1
19	买一点药材	3	4,29,27	1
20	离开	1	0	1
21	你路过一家医馆	2	22,23	1
22	请名医整治	3	5,31,27	1
23	离开	1	0	1
24	你路过一家饭馆	2	25,26	1
25	买大量的食物	3	6,30,27	1
26	离开	1	0	1
27	你的金钱不足	1	0	1
28	花费了一定的金钱后，买了一些食物	2	18,19,20	1
29	花费了一定的金钱后，买了一些药材，回复了血量	2	18,19,20	1
30	花费了大量的金钱后，买了大量食物	2	25,26	1
31	医生为你系统的检查了伤势，并给你做了治疗	2	22,23	1
32	是否进入下一关	2	33,34	1
33	进入下一关	1	0	1
34	在本关继续停留	0	0	1
35	你的面前出现了一个宝箱，你走过去打开了它	3	7,0,0	1
